OrderNum,EmpID ,Employee Name,Employee Job Title,Sales Region,OrderDate,OrderType,CustomerType,CustID,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Order Total
1102935,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-02-09,Retail,Individual,1574,Skipton Fealty,Arkansas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,45.0,135.0
1102976,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-02-15,Retail,Individual,1809,Lanni D'Ambrogi,Missouri,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,19.5,19.5
1102988,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-02-16,Retail,Individual,2253,Far Pow,Mississippi,Olive Oil,OO302,Chili Extra Virgin Olive Oil,4,26.0,104.0
1103012,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-02-19,Wholesale,Business,4083,Swift Inc,Texas,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,234.0,936.0
1103031,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-02-22,Retail,Individual,2678,Carmine Priestnall,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,234.0,702.0
1103106,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-03-09,Retail,Individual,1913,Tann Angear,Oklahoma,Bath products,BP502,Vanilla and Olive Oil Candle,2,6.99,13.98
1103113,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-03-11,Wholesale,Business,4090,Hilll Group,Texas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,5,45.0,225.0
1103172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-03-18,Retail,Individual,3896,Devlin Nock,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,4,45.0,180.0
1103175,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-03-19,Retail,Individual,3761,Jerrilyn Doubrava,Missouri,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,3,26.0,78.0
1103240,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-03-29,Retail,Individual,1574,Skipton Fealty,Arkansas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45.0,90.0
1103282,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-03,Retail,Individual,3896,Devlin Nock,Texas,Bath products,BP105,Lavender and Olive Oil Lotion,4,9.99,39.96
1103312,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-07,Retail,Individual,3186,Granny Matevosian,Missouri,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,5.99,5.99
1103348,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-12,Retail,Individual,3542,Dean Wharin,Oklahoma,Olive Oil,OO205,Rosemary Extra Virgin Olive Oil 2pk,1,45.0,45.0
1103367,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-14,Retail,Individual,1928,Zonnya Machon,Arkansas,Bath products,BP503,Vanilla and Olive Oil Bar Soap,3,5.99,17.97
1103462,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-28,Retail,Individual,1268,Skippie Anthill,Texas,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,123.0,246.0
1103461,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-28,Retail,Individual,2523,Gan Philipsson,Oklahoma,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45.0,90.0
1103475,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-04-29,Retail,Individual,3654,Gabriel Polini,Texas,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,30.0,90.0
1103537,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-05-06,Retail,Individual,2253,Far Pow,Mississippi,Gift Basket,GB101,Infused EVOO Gift Basket,3,75.0,225.0
1103597,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-05-14,Wholesale,Business,3709,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234.0,2574.0
1103614,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-05-16,Retail,Individual,4037,Sheena Steuhlmeyer,New Mexico,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,123.0,492.0
1103631,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-05-19,Wholesale,Business,2402,Daugherty Group,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,14,234.0,3276.0
1103811,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-06-17,Wholesale,Business,4090,Hilll Group,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,234.0,234.0
1103824,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-06-18,Retail,Individual,3654,Gabriel Polini,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,3,234.0,702.0
1103901,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-06-29,Retail,Individual,1951,Lincoln Bloxholm,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234.0,468.0
1104026,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-07-14,Retail,Individual,4096,Mia Walkden,Texas,Bath products,BP300,Mandarin and Olive Body Soap,3,7.45,22.35
1104067,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-07-21,Retail,Individual,1976,Erik Grinley,Louisiana,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,19.5,39.0
1104066,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-07-21,Retail,Individual,4107,Alexis Cripps,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234.0,468.0
1104083,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-07-22,Wholesale,Business,3709,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234.0,2574.0
1104122,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-07-28,Retail,Individual,1671,Viv Frankton,Louisiana,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,234.0,702.0
1104198,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-08-08,Retail,Individual,2013,Rourke Bernardt,Texas,Gift Basket,GB100,Organic EVOO Gift Basket,1,70.0,70.0
1104231,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-08-14,Retail,Individual,1984,Jewel Prandoni,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,3,234.0,702.0
1104317,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-08-26,Retail,Individual,3765,Lolita Dreschler,Arkansas,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27.0,27.0
1104404,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-09-07,Retail,Individual,1583,Georgianna Harrild,Texas,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,5.99,23.96
1104460,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-09-16,Retail,Individual,1594,Kellen Mochan,Texas,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,14.5,14.5
1104506,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-09-23,Retail,Individual,1345,Aridatha Revett,Texas,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,123.0,246.0
1104527,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-09-27,Retail,Individual,2954,Annaliese Sheeres,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,4,14.5,58.0
1104558,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-10-01,Retail,Individual,3366,Marijn Alden,Louisiana,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,3,35.0,105.0
1104555,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-10-01,Retail,Individual,2942,Mandi de Merida,Texas,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,45.0,90.0
1104652,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-10-15,Wholesale,Business,3515,Labadie Inc,Texas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,234.0,468.0
1104710,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-10-23,Retail,Individual,1307,Levon Bhatia,Oklahoma,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
1104730,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-10-26,Retail,Individual,2863,Charmine Eyers,Texas,Bath products,BP505,Vanilla and Olive Oil Lotion,4,9.99,39.96
1104858,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-11-14,Retail,Individual,1274,Marianna Folland,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,3,14.5,43.5
1104920,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-11-22,Retail,Individual,2523,Gan Philipsson,Oklahoma,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,1,234.0,234.0
1104955,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2019-11-27,Retail,Individual,2677,Aurore Rudinger,Texas,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,45.0,90.0
