OrderNum,EmpID ,Employee Name,Employee Job Title,Sales Region,OrderDate,OrderType,CustomerType,CustID,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Order Total
1102935,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2/9/2019,Retail,Individual,1574,Skipton Fealty,Arkansas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,3,45,135
1102976,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2/15/2019,Retail,Individual,1809,Lanni D'Ambrogi,Missouri,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,1,19.5,19.5
1102988,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2/16/2019,Retail,Individual,2253,Far Pow,Mississippi,Olive Oil,OO302,Chili Extra Virgin Olive Oil,4,26,104
1103012,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2/19/2019,Wholesale,Business,4083,Swift Inc,Texas,Olive Oil,OO125,Garlic Extra Virgin Olive Oil 12pk,4,234,936
1103031,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,2/22/2019,Retail,Individual,2678,Carmine Priestnall,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,3,234,702
1103106,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,3/9/2019,Retail,Individual,1913,Tann Angear,Oklahoma,Bath products,BP502,Vanilla and Olive Oil Candle,2,6.99,13.98
1103113,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,3/11/2019,Wholesale,Business,4090,Hilll Group,Texas,Olive Oil,OO206,Chili Extra Virgin Olive Oil 2pk,5,45,225
1103172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,3/18/2019,Retail,Individual,3896,Devlin Nock,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,4,45,180
1103175,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,3/19/2019,Retail,Individual,3761,Jerrilyn Doubrava,Missouri,Olive Oil,OO307,Rosemary Extra Virgin Olive Oil,3,26,78
1103240,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,3/29/2019,Retail,Individual,1574,Skipton Fealty,Arkansas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1103282,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/3/2019,Retail,Individual,3896,Devlin Nock,Texas,Bath products,BP105,Lavender and Olive Oil Lotion,4,9.99,39.96
1103312,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/7/2019,Retail,Individual,3186,Granny Matevosian,Missouri,Bath products,BP303,Mandarin and Olive Oil Bar Soap,1,5.99,5.99
1103348,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/12/2019,Retail,Individual,3542,Dean Wharin,Oklahoma,Olive Oil,OO205,Rosemary Extra Virgin Olive Oil 2pk,1,45,45
1103367,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/14/2019,Retail,Individual,1928,Zonnya Machon,Arkansas,Bath products,BP503,Vanilla and Olive Oil Bar Soap,3,5.99,17.97
1103462,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/28/2019,Retail,Individual,1268,Skippie Anthill,Texas,Olive Oil,OO607,Garlic Extra Virgin Olive Oil 6pk,2,123,246
1103461,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/28/2019,Retail,Individual,2523,Gan Philipsson,Oklahoma,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1103475,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,4/29/2019,Retail,Individual,3654,Gabriel Polini,Texas,Bath products,BP402,Assorted Olive Bar Soap - 6 pk,3,30,90
1103537,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,5/6/2019,Retail,Individual,2253,Far Pow,Mississippi,Gift Basket,GB101,Infused EVOO Gift Basket,3,75,225
1103597,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,5/14/2019,Wholesale,Business,3709,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
1103614,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,5/16/2019,Retail,Individual,4037,Sheena Steuhlmeyer,New Mexico,Olive Oil,OO605,Chili Extra Virgin Olive Oil 6pk,4,123,492
1103631,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,5/19/2019,Wholesale,Business,2402,Daugherty Group,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,14,234,3276
1103811,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,6/17/2019,Wholesale,Business,4090,Hilll Group,Texas,Olive Oil,OO128,Chili Extra Virgin Olive Oil 12pk,1,234,234
1103824,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,6/18/2019,Retail,Individual,3654,Gabriel Polini,Texas,Olive Oil,OO127,Rosemary Extra Virgin Olive Oil 12pk,3,234,702
1103901,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,6/29/2019,Retail,Individual,1951,Lincoln Bloxholm,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
1104026,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,7/14/2019,Retail,Individual,4096,Mia Walkden,Texas,Bath products,BP300,Mandarin and Olive Body Soap,3,7.45,22.35
1104067,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,7/21/2019,Retail,Individual,1976,Erik Grinley,Louisiana,Gift Basket,GB301,Scented Olive Oil Candle Gift Basket,2,19.5,39
1104066,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,7/21/2019,Retail,Individual,4107,Alexis Cripps,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,2,234,468
1104083,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,7/22/2019,Wholesale,Business,3709,Gerhold Inc,Texas,Olive Oil,OO122,Extra Virgin Olive Oil - Bold 12pk,11,234,2574
1104122,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,7/28/2019,Retail,Individual,1671,Viv Frankton,Louisiana,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,3,234,702
1104198,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,8/8/2019,Retail,Individual,2013,Rourke Bernardt,Texas,Gift Basket,GB100,Organic EVOO Gift Basket,1,70,70
1104231,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,8/14/2019,Retail,Individual,1984,Jewel Prandoni,Texas,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,3,234,702
1104317,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,8/26/2019,Retail,Individual,3765,Lolita Dreschler,Arkansas,Gift Basket,GB303,Scented Olive Oil Lotion Gift Basket,1,27,27
1104404,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,9/7/2019,Retail,Individual,1583,Georgianna Harrild,Texas,Bath products,BP103,Lavender and Olive Oil Bar Soap,4,5.99,23.96
1104460,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,9/16/2019,Retail,Individual,1594,Kellen Mochan,Texas,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,1,14.5,14.5
1104506,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,9/23/2019,Retail,Individual,1345,Aridatha Revett,Texas,Olive Oil,OO608,Rosemary Extra Virgin Olive Oil 6pk,2,123,246
1104527,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,9/27/2019,Retail,Individual,2954,Annaliese Sheeres,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,4,14.5,58
1104558,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/1/2019,Retail,Individual,3366,Marijn Alden,Louisiana,Gift Basket,GB304,Scented Olive Oil Bath Salts Gift Basket,3,35,105
1104555,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/1/2019,Retail,Individual,2942,Mandi de Merida,Texas,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,2,45,90
1104652,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/15/2019,Wholesale,Business,3515,Labadie Inc,Texas,Olive Oil,OO126,Lemon Extra Virgin Olive Oil 12pk,2,234,468
1104710,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/23/2019,Retail,Individual,1307,Levon Bhatia,Oklahoma,Olive Oil,OO202,Extra Virgin Olive Oil - Medium 2pk,3,16.75,50.25
1104730,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,10/26/2019,Retail,Individual,2863,Charmine Eyers,Texas,Bath products,BP505,Vanilla and Olive Oil Lotion,4,9.99,39.96
1104858,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/14/2019,Retail,Individual,1274,Marianna Folland,Missouri,Bath products,BP401,Assorted Olive Oil Bar Soap - 3 pk,3,14.5,43.5
1104920,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/22/2019,Retail,Individual,2523,Gan Philipsson,Oklahoma,Olive Oil,OO120,Extra Virgin Olive Oil - Delicate 12pk,1,234,234
1104955,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,11/27/2019,Retail,Individual,2677,Aurore Rudinger,Texas,Olive Oil,OO201,Extra Virgin Olive Oil - Delicate 2pk,2,45,90
1105004,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/3/2019,Retail,Individual,1167,Jethro Breagan,Louisiana,Olive Oil,OO203,Garlic Extra Virgin Olive Oil 2pk,4,45,180
1105012,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/4/2019,Retail,Individual,1538,Myrtia Scupham,Texas,Olive Oil,OO601,Extra Virgin Olive Oil - Bold 6pk,3,114,342
1105005,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/4/2019,Retail,Individual,1583,Georgianna Harrild,Texas,Olive Oil,OO207,Basil Extra Virgin Olive Oil 2pk,2,45,90
1105044,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/10/2019,Retail,Individual,1787,Cilka Bonifant,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,2,45,90
1105047,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/10/2019,Retail,Individual,3660,Ilise Wasiela,Texas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,45,45
1105049,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/11/2019,Retail,Individual,1671,Viv Frankton,Louisiana,Bath products,BP104,Lavender and Olive Oil Bar Soap 3pk,3,14.5,43.5
1105097,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/18/2019,Retail,Individual,3542,Dean Wharin,Oklahoma,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
1105155,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/28/2019,Retail,Individual,3692,Lucila Aylward,Texas,Olive Oil,OO606,Basil Extra Virgin Olive Oil 6pk,3,123,369
1105172,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,12/29/2019,Retail,Individual,3765,Lolita Dreschler,Arkansas,Olive Oil,OO204,Lemon Extra Virgin Olive Oil 2pk,1,45,45
1105185,900019019,Alexandra Kundt,Senior Sales Associate,S Central East,1/1/2020,Retail,Individual,2206,Abey Jacquemard,Texas,Bath products,BP502,Vanilla and Olive Oil Candle,3,6.99,20.97
